title,price,location,date,link
Camera Kinect Xbox 360,36080 lei,N/A,N/A,https://www.olx.ro/d/oferta/camera-kinect-xbox-360-IDjV7wB.html?search_reason=search%7Cpromoted
Vand xbox 360 cu 2 controllere + jocuri,170 lei,N/A,N/A,https://www.olx.ro/d/oferta/vand-xbox-360-cu-2-controllere-jocuri-IDkM3Io.html?search_reason=search%7Corganic
Controller xbox one/one s,50 lei,N/A,N/A,https://www.olx.ro/d/oferta/controller-xbox-one-one-s-IDj1VBk.html?search_reason=search%7Corganic
Controller Xbox One,100 lei,N/A,N/A,https://www.olx.ro/d/oferta/controller-xbox-one-IDkATDD.html?search_reason=search%7Corganic
Controler Xbox original defect,50 lei,N/A,N/A,https://www.olx.ro/d/oferta/controler-xbox-original-defect-IDkLa1l.html?search_reason=search%7Corganic
Vand Volan Myria racing MG7418,7418350 lei,N/A,N/A,https://www.olx.ro/d/oferta/vand-volan-myria-racing-mg7418-IDkgdIp.html?search_reason=search%7Corganic
Forza horizon Xbox 360,36040 lei,N/A,N/A,https://www.olx.ro/d/oferta/forza-horizon-xbox-360-IDkKP0c.html?search_reason=search%7Corganic
Monitor Gaming DELL G2724D,900 lei,N/A,N/A,https://www.olx.ro/d/oferta/monitor-gaming-dell-g2724d-IDkLRvw.html?search_reason=search%7Cpromoted
Vand xbox360 defect cu alimentator,150 lei,N/A,N/A,https://www.olx.ro/d/oferta/vand-xbox360-defect-cu-alimentator-IDkCPcm.html?search_reason=search%7Corganic
Xbox 360 cu 2 controlere si kinect,400 lei,N/A,N/A,https://www.olx.ro/d/oferta/xbox-360-cu-2-controlere-si-kinect-IDkIzQU.html?search_reason=search%7Corganic
Televizor CRT Flat Samsung 53cm,70 lei,N/A,N/A,https://www.olx.ro/d/oferta/televizor-crt-flat-samsung-53cm-IDkG4bg.html?search_reason=search%7Corganic
Controler Wireless Xbox,110 lei,N/A,N/A,https://www.olx.ro/d/oferta/controler-wireless-xbox-IDkME5D.html?search_reason=search%7Cpromoted
"Samsung NeoQLED 75QN85D - Televizor MiniLED, 189 cm",500 lei,N/A,N/A,https://www.olx.ro/d/oferta/samsung-neoqled-75qn85d-televizor-miniled-189-cm-IDkLgnX.html?search_reason=search%7Cpromoted
Pachet Xbox One Negru (Defect/Pentru piese) + Controller functional (Uzat),200 lei,N/A,N/A,https://www.olx.ro/d/oferta/pachet-xbox-one-negru-defect-pentru-piese-controller-functional-uzat-IDkHUr8.html?search_reason=search%7Corganic
De vanzare Xbox 360,360300 lei,N/A,N/A,https://www.olx.ro/d/oferta/de-vanzare-xbox-360-IDkBmQ1.html?search_reason=search%7Corganic
